OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
144008,Soda,1,2.0,04-23-19 12:33,"753 5th Avenue, Queens, NY 10473"
144009,Candy,4,1.99,04-14-19 08:33,"42 8th Avenue, Staten Island, NY 10023"
144010,Hot Dog,1,10.0,04-23-19 15:21,"674 Park Avenue, New York City, NY 10033"
144011,Apple Air Pods,1,149.0,04-01-19 18:06,"597 Wadsworth Avenue, Queens, NY 10473"
144012,USB C Android Charger,1,11.99,04-27-19 00:48,"610 4th Avenue, New York City, NY 10033"
144013,Duracell 9 Volt Batteries,1,4.99,04-19-19 19:26,"315 5th Avenue, New York City, NY 10033"
144014,Epson printer,1,99.99,04-23-19 20:30,"684 2nd Avenue, Queens, NY 10473"
144015,Apple TV,1,99.99,04-10-19 16:11,"604 Broadway Avenue, New York City, NY 10033"
144016,Soda,4,2.0,04-30-19 23:06,"638 Lexington Avenue, New York City, NY 10033"
144017,Duracell 9 Volt Batteries,1,4.99,04-04-19 16:30,"26 Audobon Avenue, New York City, NY 10033"
144018,Light Bulbs 3 PK,2,2.49,04-24-19 11:17,"539 3rd Avenue, Queens, NY 10473"
144019,Apple Macbook Pro,1,2700.0,04-02-19 16:50,"912 7th Avenue, Queens, NY 10473"
144020,Light Bulbs 3 PK,4,2.49,04-04-19 22:09,"42 Park Avenue, New York City, NY 10033"
144021,Lenovo Thinkpad,1,799.0,04-03-19 18:25,"1 Audobon Avenue, Brooklyn, NY 12116"
144022,Sony Playstation 4 Surprise Game,1,59.99,04-26-19 16:25,"693 Lexington Avenue, New York City, NY 10033"
144023,Sony Playstation 4 Pro,1,399.99,04-24-19 08:55,"184 6th Avenue, New York City, NY 10033"
144024,Soda,2,2.0,04-29-19 15:48,"271 Wadsworth Avenue, New York City, NY 10033"
144025,Apple Air Pods,1,149.0,04-15-19 15:11,"553 St Nicholas Avenue, Queens, NY 10473"
144026,Soda,1,2.0,04-25-19 15:12,"694 Park Avenue, Queens, NY 10473"
144027,Light Bulbs 3 PK,3,2.49,04-19-19 15:17,"716 St Nicholas Avenue, New York City, NY 10033"
144028,Apple Watch,1,499.99,04-25-19 14:03,"543 8th Avenue, Bronx, NY 10032"
144029,Candy,2,1.99,04-07-19 17:51,"715 3rd Avenue, Brooklyn, NY 12116"
144030,Microsoft Surprise Game,1,59.99,04-09-19 23:02,"932 7th Avenue, New York City, NY 10033"
144031,Candy,3,1.99,04-30-19 10:16,"335 Madison Avenue, New York City, NY 10033"
144032,Sony Playstation 4 Surprise Game,1,59.99,04-27-19 19:34,"443 Broadway Avenue, Bronx, NY 10032"
144033,Nintendo Switch Joycon Pair,1,89.99,04-01-19 17:18,"912 Madison Avenue, Brooklyn, NY 12116"
144034,Candy,1,1.99,04-21-19 22:47,"406 Wadsworth Avenue, New York City, NY 10033"
144035,Apple Watch,1,499.99,04-18-19 13:20,"647 5th Avenue, Queens, NY 10473"
144036,Duracell 9 Volt Batteries,1,4.99,04-29-19 11:19,"276 3rd Avenue, New York City, NY 10033"
144037,Hot Dog,2,10.0,04-16-19 01:15,"93 Wadsworth Avenue, New York City, NY 10033"
144038,Soda,2,2.0,04-19-19 23:12,"405 Amsterdam Avenue, Bronx, NY 10032"
144039,Sony Playstation 4 Pro,1,399.99,04-24-19 23:27,"876 Broadway Avenue, Bronx, NY 10032"
144040,Duracell 9 Volt Batteries,1,4.99,04-21-19 10:26,"832 6th Avenue, Staten Island, NY 10023"
144041,Hot Dog,1,10.0,04-09-19 10:35,"77 Lexington Avenue, Staten Island, NY 10023"
144042,Apple TV,1,99.99,04-25-19 14:02,"920 9th Avenue, Bronx, NY 10032"
144043,Wireless Headset for gaming,1,69.99,04-28-19 01:49,"654 4th Avenue, Bronx, NY 10032"
144044,Soda,2,2.0,04-26-19 19:56,"706 6th Avenue, Staten Island, NY 10023"
144045,Soda,2,2.0,04-29-19 20:46,"391 6th Avenue, Staten Island, NY 10023"
144046,Whirlpool Washer and Dryer,1,699.0,04-12-19 21:26,"673 3rd Avenue, New York City, NY 10033"
144047,Nintendo Switch Joycon Pair,1,89.99,04-19-19 16:30,"753 Broadway Avenue, Queens, NY 10473"
144048,Light Bulbs 3 PK,2,2.49,04-25-19 12:40,"905 1st Avenue, New York City, NY 10033"
144049,Light Bulbs 3 PK,1,2.49,04-05-19 14:08,"315 Park Avenue, Staten Island, NY 10023"
144050,Wireless Headset for gaming,1,69.99,04-30-19 12:03,"293 Amsterdam Avenue, Staten Island, NY 10023"
144051,Apple Watch,1,499.99,04-13-19 14:59,"701 St Nicholas Avenue, New York City, NY 10033"
144052,LG 65 Inch 4k Smart TV,1,399.99,04-24-19 07:09,"38 Audobon Avenue, Bronx, NY 10032"
144053,Duracell 9 Volt Batteries,1,4.99,04-23-19 17:48,"657 3rd Avenue, Brooklyn, NY 12116"
144054,Apple Lightning USB Charger,1,20.0,04-28-19 18:09,"997 3rd Avenue, Brooklyn, NY 12116"
144055,Soda,1,2.0,04-30-19 17:18,"858 Audobon Avenue, Queens, NY 10473"
144056,Apple TV,1,99.99,04-01-19 13:40,"857 Amsterdam Avenue, New York City, NY 10033"
144057,Candy,1,1.99,04-08-19 05:52,"477 3rd Avenue, New York City, NY 10033"
144058,USB C Android Charger,1,11.99,04-09-19 10:17,"32 4th Avenue, New York City, NY 10033"
144059,Nintendo Switch Joycon Pair,1,89.99,04-19-19 16:35,"255 5th Avenue, New York City, NY 10033"
144060,Microsoft XBox One Controller,1,59.99,04-29-19 08:59,"260 Madison Avenue, New York City, NY 10033"
144061,Wired Headset for gaming,1,49.99,04-14-19 12:09,"539 9th Avenue, Brooklyn, NY 12116"
144062,Candy,1,1.99,04-06-19 12:41,"919 1st Avenue, Bronx, NY 10032"
144063,Apple TV,1,99.99,04-15-19 16:40,"390 St Nicholas Avenue, Queens, NY 10473"
144064,Hot Dog,1,10.0,04-07-19 17:13,"954 5th Avenue, Staten Island, NY 10023"
144065,Apple TV,1,99.99,04-24-19 13:56,"292 Lexington Avenue, Brooklyn, NY 12116"
144066,Epson printer,1,99.99,04-09-19 17:16,"305 3rd Avenue, Brooklyn, NY 12116"
144067,JBL Bluetooth Wireless Speaker,1,199.99,04-14-19 10:18,"720 Park Avenue, Queens, NY 10473"
144068,Sony wired Headset for MP3 and Movies,1,12.99,04-22-19 20:30,"115 Broadway Avenue, Bronx, NY 10032"
144069,Light Bulbs 3 PK,1,2.49,04-22-19 20:52,"932 Lexington Avenue, New York City, NY 10033"
144070,Epson printer,1,99.99,04-05-19 21:38,"640 Broadway Avenue, New York City, NY 10033"
144071,Sony wired Headset for MP3 and Movies,1,12.99,04-08-19 17:26,"306 6th Avenue, New York City, NY 10033"
144072,Sony Playstation 4 Surprise Game,1,59.99,04-06-19 17:15,"943 5th Avenue, New York City, NY 10033"
144073,Soda,1,2.0,04-13-19 12:18,"358 Audobon Avenue, New York City, NY 10033"
144074,Wired Headset for gaming,1,49.99,04-24-19 21:08,"676 Madison Avenue, New York City, NY 10033"
144075,Lenovo Thinkpad,1,799.0,04-06-19 23:45,"967 3rd Avenue, Staten Island, NY 10023"
144076,Sony Playstation 4 Controller,1,59.99,04-24-19 18:44,"232 9th Avenue, Staten Island, NY 10023"
144077,Apple Macbook Pro,1,2700.0,04-03-19 22:09,"178 7th Avenue, Brooklyn, NY 12116"
144078,Hot Dog,1,10.0,04-15-19 21:29,"791 Park Avenue, Staten Island, NY 10023"
144079,Lenovo Thinkpad,1,799.0,04-17-19 16:54,"799 Wadsworth Avenue, Staten Island, NY 10023"
144080,Nintendo Switch Joycon Pair,1,89.99,04-15-19 09:23,"266 Audobon Avenue, Queens, NY 10473"
144081,LG 65 Inch 4k Smart TV,1,399.99,04-07-19 21:12,"911 Broadway Avenue, New York City, NY 10033"
144082,Hot Dog,3,10.0,04-15-19 18:04,"283 Audobon Avenue, Staten Island, NY 10023"
144083,Apple Air Pods,1,149.0,04-28-19 23:16,"923 6th Avenue, Staten Island, NY 10023"
144084,Nintendo Switch,1,249.99,04-30-19 20:33,"429 Wadsworth Avenue, New York City, NY 10033"
144085,Apple TV,1,99.99,04-25-19 08:04,"88 St Nicholas Avenue, New York City, NY 10033"
144086,Sony wired Headset for MP3 and Movies,1,12.99,04-20-19 10:24,"706 6th Avenue, Bronx, NY 10032"
144087,USB C Android Charger,1,11.99,04-17-19 12:36,"418 8th Avenue, Bronx, NY 10032"
144088,Duracell 9 Volt Batteries,1,4.99,04-19-19 18:39,"607 8th Avenue, Queens, NY 10473"
144089,Candy,1,1.99,04-02-19 15:18,"75 9th Avenue, Staten Island, NY 10023"
144090,Candy,3,1.99,04-05-19 23:49,"930 3rd Avenue, Queens, NY 10473"
144091,LG 65 Inch 4k Smart TV,1,399.99,04-13-19 22:06,"274 5th Avenue, Brooklyn, NY 12116"
144092,Beats Wireless Headphones,1,249.99,04-26-19 16:40,"966 St Nicholas Avenue, New York City, NY 10033"
144093,Nintendo Switch,1,249.99,04-28-19 22:02,"460 Broadway Avenue, Staten Island, NY 10023"
144094,Apple Air Pods,1,149.0,04-12-19 16:20,"339 7th Avenue, New York City, NY 10033"
144095,Candy,1,1.99,04-04-19 07:52,"748 Amsterdam Avenue, Bronx, NY 10032"
144096,Soda,2,2.0,04-04-19 00:05,"523 2nd Avenue, Staten Island, NY 10023"
144097,Sony Playstation 4 Controller,1,59.99,04-24-19 05:59,"259 St Nicholas Avenue, Queens, NY 10473"
144098,Apple Lightning USB Charger,1,20.0,04-06-19 21:28,"624 4th Avenue, Bronx, NY 10032"
144099,Soda,1,2.0,04-26-19 15:42,"237 5th Avenue, Brooklyn, NY 12116"
144100,Light Bulbs 3 PK,1,2.49,04-19-19 18:16,"35 Park Avenue, New York City, NY 10033"
144101,Lenovo Thinkpad,1,799.0,04-17-19 13:55,"844 St Nicholas Avenue, Bronx, NY 10032"
144102,USB C Android Charger,1,11.99,04-06-19 19:24,"957 St Nicholas Avenue, Bronx, NY 10032"
144103,JBL Bluetooth Wireless Speaker,1,199.99,04-29-19 22:24,"165 7th Avenue, New York City, NY 10033"
144104,Candy,4,1.99,04-23-19 18:30,"264 3rd Avenue, Bronx, NY 10032"
144105,Soda,2,2.0,04-06-19 19:05,"438 Lexington Avenue, Staten Island, NY 10023"
144106,Apple Watch,1,499.99,04-22-19 10:07,"569 Madison Avenue, Brooklyn, NY 12116"
144107,Duracell 9 Volt Batteries,1,4.99,04-20-19 18:46,"549 2nd Avenue, Staten Island, NY 10023"
144108,Hot Dog,1,10.0,04-05-19 18:36,"828 St Nicholas Avenue, Queens, NY 10473"
144109,Soda,1,2.0,04-23-19 12:25,"800 Madison Avenue, Staten Island, NY 10023"
144110,Soda,2,2.0,04-01-19 12:52,"411 9th Avenue, Brooklyn, NY 12116"
144111,Candy,1,1.99,04-30-19 17:04,"94 Wadsworth Avenue, New York City, NY 10033"
144112,Nintendo Switch Joycon Pair,1,89.99,04-09-19 15:46,"438 1st Avenue, New York City, NY 10033"
144113,Candy,2,1.99,04-09-19 10:57,"986 Wadsworth Avenue, Staten Island, NY 10023"
144114,Sony Playstation 4 Controller,1,59.99,04-30-19 08:23,"229 Wadsworth Avenue, New York City, NY 10033"
144115,Hot Dog,1,10.0,04-07-19 09:05,"403 6th Avenue, Brooklyn, NY 12116"
144116,Duracell 9 Volt Batteries,1,4.99,04-07-19 19:25,"858 6th Avenue, Staten Island, NY 10023"
144117,LG 65 Inch 4k Smart TV,1,399.99,04-19-19 07:45,"855 Amsterdam Avenue, Brooklyn, NY 12116"
