OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
189270,Samsung Galaxy S10 Plus,1,999.99,08-19-19 08:20,"17 9th Avenue, Queens, NY 10473"
189271,Sony Playstation 4 Pro,1,399.99,08-17-19 08:41,"133 6th Avenue, Queens, NY 10473"
189272,Soda,1,2.0,08-13-19 08:06,"724 Audobon Avenue, New York City, NY 10033"
189273,Light Bulbs 3 PK,3,2.49,08-11-19 08:49,"215 3rd Avenue, Bronx, NY 10032"
189274,Wired Headset for gaming,1,49.99,08-19-19 14:01,"163 4th Avenue, Queens, NY 10473"
189275,Sony Playstation 4 Controller,1,59.99,08-26-19 11:34,"302 Amsterdam Avenue, Queens, NY 10473"
189276,Candy,1,1.99,08-29-19 20:33,"455 St Nicholas Avenue, Bronx, NY 10032"
189277,Candy,2,1.99,08-11-19 20:58,"586 9th Avenue, Queens, NY 10473"
189278,Samsung Galaxy S10 Plus,1,999.99,08-31-19 14:43,"252 Audobon Avenue, New York City, NY 10033"
189279,Candy,3,1.99,08-04-19 20:01,"683 1st Avenue, Queens, NY 10473"
189280,Wireless Headset for gaming,1,69.99,08-31-19 13:42,"591 4th Avenue, Bronx, NY 10032"
189281,Candy,1,1.99,08-26-19 20:38,"554 Broadway Avenue, New York City, NY 10033"
189282,Epson printer,1,99.99,08-18-19 10:51,"481 Lexington Avenue, Staten Island, NY 10023"
189283,Soda,1,2.0,08-01-19 19:01,"923 Broadway Avenue, Brooklyn, NY 12116"
189284,Nintendo Switch Joycon Pair,1,89.99,08-17-19 11:50,"349 9th Avenue, Staten Island, NY 10023"
189285,Soda,4,2.0,08-08-19 22:30,"387 8th Avenue, Queens, NY 10473"
189286,Hot Dog,1,10.0,08-10-19 13:09,"775 7th Avenue, Bronx, NY 10032"
189287,Hot Dog,1,10.0,08-28-19 15:41,"635 Park Avenue, Brooklyn, NY 12116"
189288,Microsoft XBox One X,1,399.99,08-14-19 09:53,"949 1st Avenue, Queens, NY 10473"
189288,Microsoft Surprise Game,1,59.99,08-14-19 09:53,"949 1st Avenue, Queens, NY 10473"
189288,Microsoft Surprise Game,1,59.99,08-14-19 09:53,"949 1st Avenue, Queens, NY 10473"
189289,Duracell 9 Volt Batteries,1,4.99,08-23-19 13:46,"911 3rd Avenue, Queens, NY 10473"
189290,Epson printer,1,99.99,08-19-19 13:20,"831 6th Avenue, Staten Island, NY 10023"
