OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
263634,Nintendo Switch Joycon Pair,1,89.99,12-30-19 22:07,"185 Broadway Avenue, New York City, NY 10033"
263635,Nintendo Switch Surprise Game,1,59.99,12-02-19 18:02,"792 9th Avenue, Bronx, NY 10032"
263636,Sony Playstation 4 Pro,1,399.99,12-14-19 22:14,"370 Lexington Avenue, Staten Island, NY 10023"
263637,Microsoft Surprise Game,1,59.99,12-25-19 17:41,"464 Broadway Avenue, Brooklyn, NY 12116"
263638,Nintendo Switch,1,249.99,12-30-19 19:54,"280 4th Avenue, New York City, NY 10033"
263639,Extended Warranty 3 Years,1,49.0,12-29-19 21:06,"483 Park Avenue, New York City, NY 10033"
263640,Apple TV,1,99.99,12-07-19 21:11,"712 Lexington Avenue, Bronx, NY 10032"
263641,Nintendo Switch Surprise Game,1,59.99,12-16-19 02:24,"212 Broadway Avenue, Brooklyn, NY 12116"
263642,Duracell 9 Volt Batteries,1,4.99,12-18-19 21:42,"729 St Nicholas Avenue, Queens, NY 10473"
263642,Light Bulbs 3 PK,1,2.49,12-18-19 21:42,"729 St Nicholas Avenue, Queens, NY 10473"
263643,Candy,1,1.99,12-25-19 13:47,"326 Audobon Avenue, Staten Island, NY 10023"
263644,Nintendo Switch Surprise Game,1,59.99,12-05-19 15:09,"147 Madison Avenue, New York City, NY 10033"
263645,Microsoft XBox One X,1,399.99,12-09-19 20:05,"527 Lexington Avenue, Staten Island, NY 10023"
263646,Epson printer,1,99.99,12-11-19 10:42,"304 4th Avenue, Staten Island, NY 10023"
263647,Samsung Galaxy S10 Plus,1,999.99,12-26-19 12:10,"11 2nd Avenue, New York City, NY 10033"
263648,Lenovo Thinkpad,1,799.0,12-12-19 11:17,"34 3rd Avenue, New York City, NY 10033"
263649,Hot Dog,1,10.0,12-14-19 10:43,"370 Lexington Avenue, Queens, NY 10473"
263650,Soda,1,2.0,12-28-19 14:15,"949 5th Avenue, Staten Island, NY 10023"
263651,Sony Playstation 4 Controller,1,59.99,12-03-19 20:55,"398 Broadway Avenue, Staten Island, NY 10023"
263652,Wired Headset for gaming,1,49.99,12-31-19 19:34,"652 Audobon Avenue, New York City, NY 10033"
263653,Apple Air Pods,1,149.0,12-12-19 13:33,"18 6th Avenue, Queens, NY 10473"
263654,Light Bulbs 3 PK,1,2.49,12-22-19 22:18,"256 9th Avenue, Queens, NY 10473"
263655,JBL Bluetooth Wireless Speaker,1,199.99,12-26-19 11:10,"85 Park Avenue, Staten Island, NY 10023"
263656,Apple TV,1,99.99,12-16-19 08:26,"643 Amsterdam Avenue, Queens, NY 10473"
263657,Extended Warranty 3 Years,1,49.0,12-18-19 15:26,"583 1st Avenue, New York City, NY 10033"
263658,Hot Dog,1,10.0,12-04-19 10:42,"233 3rd Avenue, New York City, NY 10033"
263659,Hot Dog,1,10.0,12-11-19 18:57,"245 1st Avenue, New York City, NY 10033"
