OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
125956,Nintendo Switch Joycon Pair,1,89.99,02-22-19 21:00,"309 Amsterdam Avenue, New York City, NY 10033"
125957,Nintendo Switch,1,249.99,02-10-19 11:53,"263 Audobon Avenue, Brooklyn, NY 12116"
125958,Extended Warranty 3 Years,1,49.0,02-28-19 12:11,"661 4th Avenue, Staten Island, NY 10023"
125959,Wireless Headset for gaming,1,69.99,02-05-19 15:48,"188 2nd Avenue, Brooklyn, NY 12116"
125960,Hot Dog,1,10.0,02-03-19 12:04,"547 Madison Avenue, Bronx, NY 10032"
125961,Duracell 9 Volt Batteries,2,4.99,02-07-19 05:19,"220 3rd Avenue, Queens, NY 10473"
125962,Sony Playstation 4 Surprise Game,1,59.99,02-10-19 00:18,"523 St Nicholas Avenue, Queens, NY 10473"
125963,Microsoft XBox One Controller,1,59.99,02-19-19 20:06,"150 7th Avenue, Brooklyn, NY 12116"
125964,Microsoft XBox One Controller,2,59.99,02-18-19 22:24,"746 St Nicholas Avenue, Queens, NY 10473"
125965,Apple iPhone 11 Pro,1,1100.0,02-07-19 11:43,"92 2nd Avenue, Staten Island, NY 10023"
125966,Nintendo Switch Surprise Game,1,59.99,02-03-19 18:46,"227 4th Avenue, Queens, NY 10473"
125967,Candy,1,1.99,02-18-19 18:40,"350 St Nicholas Avenue, Bronx, NY 10032"
125968,Candy,3,1.99,02-12-19 22:30,"526 2nd Avenue, Queens, NY 10473"
125969,LG 65 Inch 4k Smart TV,1,399.99,02-08-19 14:31,"362 8th Avenue, New York City, NY 10033"
125970,Sony Playstation 4 Controller,1,59.99,02-11-19 17:10,"700 4th Avenue, Brooklyn, NY 12116"
125971,Wireless Headset for gaming,1,69.99,02-05-19 15:26,"621 Broadway Avenue, Staten Island, NY 10023"
125972,Soda,1,2.0,02-21-19 18:15,"853 Park Avenue, Staten Island, NY 10023"
125973,Wired Headset for gaming,1,49.99,02-03-19 13:23,"621 Broadway Avenue, Brooklyn, NY 12116"
125974,Lenovo Thinkpad,1,799.0,02-04-19 09:55,"133 9th Avenue, Bronx, NY 10032"
125975,Duracell 9 Volt Batteries,1,4.99,02-13-19 18:47,"101 6th Avenue, New York City, NY 10033"
125976,Sony Playstation 4 Controller,1,59.99,02-20-19 17:25,"866 Amsterdam Avenue, Staten Island, NY 10023"
