OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
112358,Sony Playstation 4 Pro,1,399.99,01-17-19 09:13,"486 Park Avenue, New York City, NY 10033"
112358,Sony Playstation 4 Surprise Game,1,59.99,01-17-19 09:13,"486 Park Avenue, New York City, NY 10033"
112359,Apple TV,1,99.99,01-29-19 00:35,"373 Broadway Avenue, Bronx, NY 10032"
112360,Soda,2,2.0,01-28-19 14:35,"693 8th Avenue, New York City, NY 10033"
112361,Apple Macbook Pro,1,2700.0,01-01-19 07:19,"777 Park Avenue, Queens, NY 10473"
112362,Candy,2,1.99,01-28-19 21:57,"511 St Nicholas Avenue, Staten Island, NY 10023"
112363,Hot Dog,1,10.0,01-08-19 01:11,"604 6th Avenue, Bronx, NY 10032"
112364,Microsoft XBox One Controller,1,59.99,01-04-19 09:34,"746 9th Avenue, Bronx, NY 10032"
112365,Duracell 9 Volt Batteries,1,4.99,01-10-19 22:49,"285 Amsterdam Avenue, New York City, NY 10033"
112366,Duracell 9 Volt Batteries,2,4.99,01-18-19 14:28,"844 Amsterdam Avenue, Staten Island, NY 10023"
112367,Soda,2,2.0,01-25-19 22:43,"858 3rd Avenue, Queens, NY 10473"
112368,Soda,1,2.0,01-07-19 22:38,"389 Wadsworth Avenue, New York City, NY 10033"
112369,LG 65 Inch 4k Smart TV,1,399.99,01-12-19 21:56,"230 3rd Avenue, Queens, NY 10473"
112370,Hot Dog,1,10.0,01-09-19 09:47,"683 St Nicholas Avenue, Staten Island, NY 10023"
112371,Nintendo Switch,1,249.99,01-26-19 12:30,"830 St Nicholas Avenue, Queens, NY 10473"
112372,Candy,2,1.99,01-02-19 20:02,"97 3rd Avenue, Brooklyn, NY 12116"
112373,Extended Warranty 3 Years,1,49.0,01-18-19 23:01,"927 7th Avenue, New York City, NY 10033"
112374,Nintendo Switch Surprise Game,1,59.99,01-13-19 08:51,"587 6th Avenue, Staten Island, NY 10023"
112375,Hot Dog,1,10.0,01-11-19 21:03,"60 3rd Avenue, Brooklyn, NY 12116"
112376,USB C Android Charger,1,11.99,01-30-19 12:40,"291 6th Avenue, Staten Island, NY 10023"
112377,Microsoft XBox One Controller,1,59.99,01-24-19 12:03,"117 1st Avenue, Brooklyn, NY 12116"
112378,Light Bulbs 3 PK,1,2.49,01-31-19 22:11,"583 7th Avenue, Bronx, NY 10032"
112379,Soda,7,2.0,01-06-19 16:22,"586 6th Avenue, New York City, NY 10033"
112380,Wireless Headset for gaming,1,69.99,01-18-19 14:19,"887 Amsterdam Avenue, New York City, NY 10033"
112381,Lenovo Thinkpad,1,799.0,01-02-19 18:15,"862 Wadsworth Avenue, Queens, NY 10473"
112382,Sony wired Headset for MP3 and Movies,1,12.99,01-26-19 15:16,"673 Madison Avenue, Bronx, NY 10032"
112383,Apple TV,1,99.99,01-22-19 22:36,"643 Amsterdam Avenue, Queens, NY 10473"
112384,Candy,2,1.99,01-10-19 21:04,"688 7th Avenue, Bronx, NY 10032"
112385,Sony Playstation 4 Surprise Game,1,59.99,01-22-19 15:42,"890 Lexington Avenue, Staten Island, NY 10023"
112386,Sony wired Headset for MP3 and Movies,2,12.99,01-01-19 23:20,"563 3rd Avenue, New York City, NY 10033"
112387,Duracell 9 Volt Batteries,1,4.99,01-30-19 20:54,"116 1st Avenue, Brooklyn, NY 12116"
112388,Epson printer,1,99.99,01-04-19 19:25,"914 4th Avenue, Bronx, NY 10032"
112389,Candy,1,1.99,01-09-19 08:44,"80 2nd Avenue, Staten Island, NY 10023"
112390,Soda,3,2.0,01-07-19 20:26,"142 Broadway Avenue, Bronx, NY 10032"
112391,Apple TV,1,99.99,01-17-19 14:07,"617 2nd Avenue, New York City, NY 10033"
112392,JBL Bluetooth Wireless Speaker,1,199.99,01-10-19 15:49,"553 2nd Avenue, Queens, NY 10473"
112393,Apple iPhone 11 Pro,1,1100.0,01-08-19 15:53,"729 1st Avenue, Staten Island, NY 10023"
112394,Nintendo Switch,1,249.99,01-23-19 16:14,"572 Audobon Avenue, New York City, NY 10033"
112395,Light Bulbs 3 PK,1,2.49,01-12-19 13:10,"48 3rd Avenue, Bronx, NY 10032"
112396,Apple Macbook Pro,1,2700.0,01-26-19 03:04,"926 5th Avenue, New York City, NY 10033"
112397,Nintendo Switch Joycon Pair,1,89.99,01-11-19 12:55,"783 8th Avenue, Staten Island, NY 10023"
112398,Candy,2,1.99,01-09-19 10:33,"774 8th Avenue, Staten Island, NY 10023"
112399,Nintendo Switch Joycon Pair,1,89.99,01-23-19 22:11,"505 8th Avenue, Queens, NY 10473"
112400,Candy,1,1.99,01-05-19 03:55,"972 9th Avenue, Staten Island, NY 10023"
112401,Soda,5,2.0,01-02-19 00:55,"539 5th Avenue, Queens, NY 10473"
112402,Candy,1,1.99,01-13-19 09:56,"627 5th Avenue, Bronx, NY 10032"
112403,Nintendo Switch,1,249.99,01-04-19 18:30,"280 Audobon Avenue, Bronx, NY 10032"
112404,Soda,2,2.0,01-28-19 21:49,"217 3rd Avenue, Brooklyn, NY 12116"
112405,Duracell 9 Volt Batteries,1,4.99,01-03-19 12:27,"523 Broadway Avenue, Queens, NY 10473"
