OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
180898,Soda,1,2.0,07-13-19 09:51,"590 Lexington Avenue, Queens, NY 10473"
180899,Extended Warranty 3 Years,1,49.0,07-08-19 18:45,"926 Amsterdam Avenue, Brooklyn, NY 12116"
180900,Soda,6,2.0,07-09-19 20:30,"154 9th Avenue, Staten Island, NY 10023"
180901,Candy,4,1.99,07-07-19 08:52,"343 9th Avenue, Staten Island, NY 10023"
180902,Duracell 9 Volt Batteries,2,4.99,07-04-19 11:49,"333 7th Avenue, Queens, NY 10473"
180903,Sony Playstation 4 Controller,1,59.99,07-03-19 21:03,"642 Audobon Avenue, Brooklyn, NY 12116"
180904,Sony wired Headset for MP3 and Movies,1,12.99,07-27-19 14:39,"701 1st Avenue, New York City, NY 10033"
180905,Nintendo Switch,1,249.99,07-26-19 08:53,"761 1st Avenue, Brooklyn, NY 12116"
180906,Soda,1,2.0,07-18-19 07:35,"615 Audobon Avenue, Bronx, NY 10032"
180907,Whirlpool Washer and Dryer,1,699.0,07-20-19 11:57,"7 3rd Avenue, Staten Island, NY 10023"
180908,Microsoft Surprise Game,1,59.99,07-02-19 14:42,"981 Amsterdam Avenue, Bronx, NY 10032"
180909,Apple iPhone 11 Pro,1,1100.0,07-21-19 00:14,"653 Wadsworth Avenue, Staten Island, NY 10023"
180910,Nintendo Switch Joycon Pair,1,89.99,07-17-19 11:56,"359 Broadway Avenue, Queens, NY 10473"
180911,Candy,1,1.99,07-30-19 09:52,"530 3rd Avenue, New York City, NY 10033"
180912,Microsoft Surprise Game,1,59.99,07-20-19 14:28,"66 St Nicholas Avenue, New York City, NY 10033"
180913,Candy,1,1.99,07-10-19 18:43,"14 1st Avenue, Brooklyn, NY 12116"
180914,Candy,1,1.99,07-01-19 12:38,"448 Broadway Avenue, New York City, NY 10033"
180915,Hot Dog,1,10.0,07-16-19 18:30,"521 6th Avenue, Queens, NY 10473"
180916,Hot Dog,1,10.0,07-15-19 11:13,"73 Madison Avenue, New York City, NY 10033"
180916,Light Bulbs 3 PK,1,2.49,07-15-19 11:13,"73 Madison Avenue, New York City, NY 10033"
180917,Sony Playstation 4 Pro,1,399.99,07-09-19 22:27,"687 Broadway Avenue, Staten Island, NY 10023"
180918,Candy,1,1.99,07-09-19 05:07,"711 4th Avenue, Staten Island, NY 10023"
180919,Samsung Galaxy S10 Plus,1,999.99,07-08-19 19:53,"588 Audobon Avenue, Bronx, NY 10032"
180920,USB C Android Charger,1,11.99,07-31-19 06:55,"781 Wadsworth Avenue, Brooklyn, NY 12116"
180921,Light Bulbs 3 PK,1,2.49,07-30-19 09:26,"10 Audobon Avenue, Staten Island, NY 10023"
180922,Microsoft XBox One X,1,399.99,07-06-19 10:26,"405 5th Avenue, New York City, NY 10033"
180923,Wired Headset for gaming,1,49.99,07-22-19 18:55,"285 3rd Avenue, Bronx, NY 10032"
180924,Wireless Headset for gaming,1,69.99,07-18-19 06:07,"958 Amsterdam Avenue, New York City, NY 10033"
180925,Nintendo Switch,1,249.99,07-28-19 19:10,"404 Broadway Avenue, New York City, NY 10033"
180926,Duracell 9 Volt Batteries,1,4.99,07-06-19 11:30,"301 Madison Avenue, Bronx, NY 10032"
180927,Duracell 9 Volt Batteries,1,4.99,07-31-19 18:47,"225 Broadway Avenue, Staten Island, NY 10023"
180928,Light Bulbs 3 PK,3,2.49,07-06-19 17:50,"952 Lexington Avenue, Staten Island, NY 10023"
180929,Wireless Headset for gaming,1,69.99,07-16-19 18:14,"568 St Nicholas Avenue, Brooklyn, NY 12116"
180930,Apple Macbook Pro,1,2700.0,07-18-19 11:25,"499 Broadway Avenue, New York City, NY 10033"
180931,Apple Air Pods,1,149.0,07-28-19 14:53,"986 9th Avenue, New York City, NY 10033"
180932,Light Bulbs 3 PK,1,2.49,07-16-19 15:45,"432 Madison Avenue, New York City, NY 10033"
180933,Soda,1,2.0,07-04-19 09:41,"13 Broadway Avenue, Brooklyn, NY 12116"
180934,Candy,1,1.99,07-05-19 13:25,"352 5th Avenue, Staten Island, NY 10023"
180935,Soda,1,2.0,07-24-19 13:08,"711 Park Avenue, Brooklyn, NY 12116"
180936,Soda,2,2.0,07-30-19 15:04,"322 6th Avenue, Bronx, NY 10032"
180937,Wired Headset for gaming,1,49.99,07-06-19 14:24,"739 Wadsworth Avenue, Staten Island, NY 10023"
180938,Sony wired Headset for MP3 and Movies,1,12.99,07-24-19 12:37,"156 5th Avenue, New York City, NY 10033"
180939,Microsoft XBox One X,1,399.99,07-01-19 19:27,"841 Park Avenue, Bronx, NY 10032"
180940,Candy,2,1.99,07-28-19 19:32,"974 3rd Avenue, New York City, NY 10033"
180941,Nintendo Switch Joycon Pair,1,89.99,07-05-19 11:59,"730 Park Avenue, Staten Island, NY 10023"
180942,Sony wired Headset for MP3 and Movies,1,12.99,07-15-19 19:57,"177 Broadway Avenue, New York City, NY 10033"
180943,Duracell 9 Volt Batteries,1,4.99,07-05-19 11:53,"44 Lexington Avenue, New York City, NY 10033"
180944,Duracell 9 Volt Batteries,1,4.99,07-16-19 22:24,"290 5th Avenue, Queens, NY 10473"
