OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
166742,Sony wired Headset for MP3 and Movies,1,12.99,06-30-19 08:38,"532 5th Avenue, Queens, NY 10473"
166743,Candy,3,1.99,06-21-19 09:22,"96 Amsterdam Avenue, Staten Island, NY 10023"
166744,Microsoft Surprise Game,1,59.99,06-11-19 16:55,"126 4th Avenue, Bronx, NY 10032"
166745,Sony Playstation 4 Pro,1,399.99,06-12-19 12:16,"843 Wadsworth Avenue, Bronx, NY 10032"
166746,Light Bulbs 3 PK,2,2.49,06-10-19 08:43,"982 Audobon Avenue, Bronx, NY 10032"
166747,Candy,3,1.99,06-30-19 08:41,"366 6th Avenue, Queens, NY 10473"
166748,Nintendo Switch Surprise Game,1,59.99,06-23-19 17:36,"137 4th Avenue, Queens, NY 10473"
166749,Sony wired Headset for MP3 and Movies,1,12.99,06-10-19 17:08,"52 3rd Avenue, Queens, NY 10473"
166750,IooT Refrigerator,1,1500.0,06-26-19 12:02,"792 Park Avenue, New York City, NY 10033"
166751,Apple iPhone 11 Pro,1,1100.0,06-15-19 16:15,"493 Audobon Avenue, Brooklyn, NY 12116"
166752,Wired Headset for gaming,1,49.99,06-30-19 11:51,"616 2nd Avenue, Bronx, NY 10032"
166753,Wired Headset for gaming,1,49.99,06-01-19 18:33,"752 6th Avenue, Bronx, NY 10032"
166754,Duracell 9 Volt Batteries,1,4.99,06-23-19 12:48,"263 St Nicholas Avenue, New York City, NY 10033"
166755,Nintendo Switch Surprise Game,1,59.99,06-26-19 08:55,"998 Amsterdam Avenue, Staten Island, NY 10023"
166755,Soda,1,2.0,06-26-19 08:55,"998 Amsterdam Avenue, Staten Island, NY 10023"
166756,Microsoft Surprise Game,1,59.99,06-04-19 14:57,"313 Amsterdam Avenue, Queens, NY 10473"
166757,Light Bulbs 3 PK,2,2.49,06-20-19 12:54,"169 St Nicholas Avenue, New York City, NY 10033"
166758,Epson printer,1,99.99,06-11-19 20:09,"442 5th Avenue, Staten Island, NY 10023"
166759,Microsoft Surprise Game,1,59.99,06-20-19 14:18,"242 Audobon Avenue, Staten Island, NY 10023"
166760,Candy,2,1.99,06-02-19 22:34,"643 4th Avenue, Bronx, NY 10032"
166761,Duracell 9 Volt Batteries,1,4.99,06-14-19 13:27,"442 4th Avenue, Bronx, NY 10032"
166762,Samsung Galaxy S10 Plus,1,999.99,06-18-19 16:33,"385 St Nicholas Avenue, Queens, NY 10473"
166763,Soda,1,2.0,06-12-19 19:08,"7 8th Avenue, New York City, NY 10033"
166764,Whirlpool Washer and Dryer,1,699.0,06-11-19 16:03,"211 2nd Avenue, New York City, NY 10033"
166765,Candy,6,1.99,06-06-19 15:53,"661 Amsterdam Avenue, Queens, NY 10473"
166766,Hot Dog,1,10.0,06-04-19 16:19,"242 6th Avenue, New York City, NY 10033"
166767,Duracell 9 Volt Batteries,1,4.99,06-28-19 13:55,"642 5th Avenue, Brooklyn, NY 12116"
166768,Light Bulbs 3 PK,1,2.49,06-08-19 14:37,"319 9th Avenue, Queens, NY 10473"
166769,Light Bulbs 3 PK,1,2.49,06-08-19 16:20,"377 Wadsworth Avenue, New York City, NY 10033"
166770,Apple iPhone 11 Pro,1,1100.0,06-27-19 12:02,"675 3rd Avenue, Brooklyn, NY 12116"
166770,Apple Lightning USB Charger,1,20.0,06-27-19 12:02,"675 3rd Avenue, Brooklyn, NY 12116"
166771,Wireless Headset for gaming,1,69.99,06-24-19 19:07,"636 Madison Avenue, Queens, NY 10473"
166772,Soda,1,2.0,06-19-19 09:42,"481 Broadway Avenue, Staten Island, NY 10023"
166773,Soda,1,2.0,06-19-19 11:52,"860 Park Avenue, Bronx, NY 10032"
166774,Candy,1,1.99,06-10-19 14:05,"776 5th Avenue, Bronx, NY 10032"
166775,Sony Playstation 4 Pro,1,399.99,06-26-19 20:33,"602 Amsterdam Avenue, New York City, NY 10033"
166776,USB C Android Charger,2,11.99,06-15-19 19:11,"546 8th Avenue, Brooklyn, NY 12116"
166777,Sony Playstation 4 Controller,1,59.99,06-02-19 14:22,"365 2nd Avenue, Queens, NY 10473"
166778,Whirlpool Washer and Dryer,1,699.0,06-03-19 11:29,"176 Madison Avenue, Brooklyn, NY 12116"
166779,USB C Android Charger,1,11.99,06-05-19 12:53,"894 Park Avenue, Bronx, NY 10032"
166780,Microsoft XBox One Controller,1,59.99,06-09-19 13:42,"996 9th Avenue, Staten Island, NY 10023"
166781,Candy,4,1.99,06-08-19 12:28,"39 Madison Avenue, Queens, NY 10473"
166782,Candy,1,1.99,06-02-19 23:13,"382 6th Avenue, Queens, NY 10473"
166782,Samsung Galaxy S10 Plus,1,999.99,06-02-19 23:13,"382 6th Avenue, Queens, NY 10473"
166783,Microsoft XBox One Controller,1,59.99,06-25-19 09:47,"259 Wadsworth Avenue, Queens, NY 10473"
166784,Candy,2,1.99,06-06-19 09:54,"515 Wadsworth Avenue, Bronx, NY 10032"
166785,Soda,1,2.0,06-28-19 19:32,"451 Lexington Avenue, Bronx, NY 10032"
166786,Lenovo Thinkpad,1,799.0,06-15-19 16:47,"998 Park Avenue, New York City, NY 10033"
166787,LG 65 Inch 4k Smart TV,1,399.99,06-04-19 08:36,"135 1st Avenue, Queens, NY 10473"
166788,Apple Macbook Pro,1,2700.0,06-21-19 16:11,"911 Amsterdam Avenue, Staten Island, NY 10023"
166789,Light Bulbs 3 PK,3,2.49,06-12-19 17:29,"270 4th Avenue, Staten Island, NY 10023"
166789,Nintendo Switch Joycon Pair,1,89.99,06-12-19 17:29,"270 4th Avenue, Staten Island, NY 10023"
166790,Wired Headset for gaming,1,49.99,06-14-19 01:16,"314 Park Avenue, Queens, NY 10473"
166791,Duracell 9 Volt Batteries,1,4.99,06-10-19 10:31,"196 Broadway Avenue, Staten Island, NY 10023"
166792,Apple Watch,1,499.99,06-22-19 09:57,"536 Wadsworth Avenue, Brooklyn, NY 12116"
166793,LG 65 Inch 4k Smart TV,1,399.99,06-11-19 10:11,"486 8th Avenue, Bronx, NY 10032"
166794,Apple Watch,1,499.99,06-13-19 15:46,"667 8th Avenue, Brooklyn, NY 12116"
166794,Candy,1,1.99,06-13-19 15:46,"667 8th Avenue, Brooklyn, NY 12116"
166795,Soda,3,2.0,06-08-19 23:02,"179 2nd Avenue, Staten Island, NY 10023"
166796,Soda,1,2.0,06-19-19 18:20,"990 9th Avenue, Queens, NY 10473"
