OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
134358,Duracell 9 Volt Batteries,1,4.99,03-29-19 17:03,"688 Broadway Avenue, New York City, NY 10033"
134359,Wireless Headset for gaming,1,69.99,03-07-19 18:54,"501 6th Avenue, New York City, NY 10033"
134360,Wireless Headset for gaming,1,69.99,03-21-19 13:03,"356 7th Avenue, Brooklyn, NY 12116"
134361,Candy,2,1.99,03-12-19 01:51,"372 St Nicholas Avenue, Bronx, NY 10032"
134362,Soda,1,2.0,03-08-19 09:40,"228 Wadsworth Avenue, Bronx, NY 10032"
134363,Nintendo Switch Joycon Pair,1,89.99,03-23-19 23:55,"683 4th Avenue, Queens, NY 10473"
134364,Candy,1,1.99,03-04-19 00:41,"979 St Nicholas Avenue, New York City, NY 10033"
134365,Light Bulbs 3 PK,1,2.49,03-07-19 12:57,"976 Broadway Avenue, Bronx, NY 10032"
134366,Apple Lightning USB Charger,1,20.0,03-23-19 18:53,"109 Audobon Avenue, New York City, NY 10033"
134367,Sony Playstation 4 Surprise Game,1,59.99,03-12-19 20:19,"545 Park Avenue, Brooklyn, NY 12116"
134368,JBL Bluetooth Wireless Speaker,1,199.99,03-02-19 18:45,"397 Park Avenue, Staten Island, NY 10023"
134369,Candy,1,1.99,03-20-19 15:49,"403 Madison Avenue, Bronx, NY 10032"
134369,Duracell 9 Volt Batteries,1,4.99,03-20-19 15:49,"403 Madison Avenue, Bronx, NY 10032"
134370,Samsung Galaxy S10 Plus,1,999.99,03-12-19 09:33,"72 Audobon Avenue, Bronx, NY 10032"
134371,Nintendo Switch,1,249.99,03-07-19 23:34,"291 4th Avenue, New York City, NY 10033"
134372,Lenovo Thinkpad,1,799.0,03-21-19 11:29,"884 1st Avenue, Staten Island, NY 10023"
134373,Candy,1,1.99,03-27-19 12:40,"668 6th Avenue, Staten Island, NY 10023"
134374,Soda,5,2.0,03-29-19 11:05,"26 Amsterdam Avenue, Brooklyn, NY 12116"
134375,Candy,2,1.99,03-11-19 11:42,"393 8th Avenue, Staten Island, NY 10023"
134376,Apple Lightning USB Charger,1,20.0,03-19-19 09:52,"274 Park Avenue, New York City, NY 10033"
134377,Apple iPhone 11 Pro,1,1100.0,03-24-19 22:45,"2 4th Avenue, Bronx, NY 10032"
134378,JBL Bluetooth Wireless Speaker,1,199.99,03-09-19 12:15,"627 Lexington Avenue, Staten Island, NY 10023"
134379,Lenovo Thinkpad,1,799.0,03-04-19 14:30,"789 Park Avenue, Staten Island, NY 10023"
134380,Soda,1,2.0,03-26-19 18:45,"295 Park Avenue, Bronx, NY 10032"
