OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
155414,USB C Android Charger,1,11.99,05-29-19 16:58,"102 Park Avenue, Queens, NY 10473"
155415,Candy,2,1.99,05-04-19 23:16,"475 Amsterdam Avenue, Bronx, NY 10032"
155416,LG 65 Inch 4k Smart TV,1,399.99,05-06-19 14:07,"859 8th Avenue, Staten Island, NY 10023"
155417,Apple iPhone 11 Pro,1,1100.0,05-17-19 17:50,"925 Amsterdam Avenue, New York City, NY 10033"
155418,Duracell 9 Volt Batteries,3,4.99,05-01-19 23:09,"80 St Nicholas Avenue, New York City, NY 10033"
155419,Candy,1,1.99,05-13-19 10:14,"402 Audobon Avenue, Bronx, NY 10032"
155419,Apple TV,1,99.99,05-13-19 10:14,"402 Audobon Avenue, Bronx, NY 10032"
155420,Hot Dog,1,10.0,05-31-19 18:06,"833 Audobon Avenue, Bronx, NY 10032"
155421,Soda,1,2.0,05-24-19 08:36,"958 7th Avenue, Brooklyn, NY 12116"
155422,Soda,3,2.0,05-31-19 20:55,"240 5th Avenue, Staten Island, NY 10023"
155423,Hot Dog,1,10.0,05-29-19 15:42,"207 Wadsworth Avenue, Queens, NY 10473"
155424,Soda,1,2.0,05-21-19 23:33,"452 5th Avenue, Bronx, NY 10032"
155425,Duracell 9 Volt Batteries,1,4.99,05-13-19 18:22,"946 Lexington Avenue, New York City, NY 10033"
155426,Nintendo Switch,1,249.99,05-28-19 12:36,"377 Park Avenue, Staten Island, NY 10023"
155427,Soda,2,2.0,05-22-19 08:16,"573 5th Avenue, New York City, NY 10033"
155428,Duracell 9 Volt Batteries,1,4.99,05-22-19 11:38,"126 5th Avenue, Staten Island, NY 10023"
155429,Sony Playstation 4 Surprise Game,1,59.99,05-05-19 12:54,"169 Park Avenue, New York City, NY 10033"
155430,Duracell 9 Volt Batteries,1,4.99,05-18-19 10:52,"908 7th Avenue, Bronx, NY 10032"
155431,Apple Macbook Pro,1,2700.0,05-05-19 09:35,"862 6th Avenue, Staten Island, NY 10023"
155432,Apple Macbook Pro,1,2700.0,05-19-19 15:13,"404 Park Avenue, Bronx, NY 10032"
