OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
239286,Microsoft XBox One Controller,1,59.99,11-29-19 17:25,"190 8th Avenue, Bronx, NY 10032"
239287,Duracell 9 Volt Batteries,1,4.99,11-02-19 16:40,"660 4th Avenue, Bronx, NY 10032"
239288,Microsoft XBox One X,1,399.99,11-08-19 20:11,"427 6th Avenue, Queens, NY 10473"
239288,Microsoft Surprise Game,1,59.99,11-08-19 20:11,"427 6th Avenue, Queens, NY 10473"
239289,Hot Dog,1,10.0,11-15-19 13:35,"935 Madison Avenue, Bronx, NY 10032"
239290,Light Bulbs 3 PK,1,2.49,11-25-19 22:53,"799 8th Avenue, Staten Island, NY 10023"
239291,JBL Bluetooth Wireless Speaker,1,199.99,11-01-19 09:49,"637 Lexington Avenue, New York City, NY 10033"
239292,Duracell 9 Volt Batteries,1,4.99,11-28-19 23:35,"992 8th Avenue, New York City, NY 10033"
239293,JBL Bluetooth Wireless Speaker,1,199.99,11-14-19 22:20,"940 7th Avenue, Staten Island, NY 10023"
239294,Candy,1,1.99,11-11-19 11:10,"500 5th Avenue, Queens, NY 10473"
239295,Apple TV,1,99.99,11-14-19 09:01,"408 Wadsworth Avenue, Staten Island, NY 10023"
239296,Hot Dog,1,10.0,11-14-19 07:22,"691 Wadsworth Avenue, Queens, NY 10473"
239297,Nintendo Switch,1,249.99,11-14-19 09:43,"112 5th Avenue, New York City, NY 10033"
239298,Soda,1,2.0,11-23-19 20:24,"360 5th Avenue, New York City, NY 10033"
239299,Light Bulbs 3 PK,2,2.49,11-16-19 13:03,"76 6th Avenue, Bronx, NY 10032"
239300,Microsoft XBox One Controller,1,59.99,11-11-19 20:15,"233 8th Avenue, Queens, NY 10473"
239301,Hot Dog,1,10.0,11-04-19 22:25,"887 Amsterdam Avenue, New York City, NY 10033"
239302,Microsoft XBox One X,1,399.99,11-27-19 19:56,"426 7th Avenue, Queens, NY 10473"
239303,Apple TV,1,99.99,11-20-19 13:53,"160 St Nicholas Avenue, Staten Island, NY 10023"
239304,Light Bulbs 3 PK,3,2.49,11-24-19 18:16,"144 6th Avenue, Bronx, NY 10032"
