OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
208171,Duracell 9 Volt Batteries,2,4.99,10-26-19 13:27,"366 3rd Avenue, Queens, NY 10473"
208172,Sony wired Headset for MP3 and Movies,1,12.99,10-24-19 21:32,"915 9th Avenue, Staten Island, NY 10023"
208173,Hot Dog,1,10.0,10-21-19 13:15,"937 2nd Avenue, Staten Island, NY 10023"
208174,Lenovo Thinkpad,1,799.0,10-23-19 09:43,"233 2nd Avenue, Bronx, NY 10032"
208175,USB C Android Charger,1,11.99,10-04-19 12:13,"870 9th Avenue, New York City, NY 10033"
208176,Soda,1,2.0,10-23-19 07:58,"648 Audobon Avenue, Queens, NY 10473"
208177,Apple TV,1,99.99,10-19-19 02:13,"476 Lexington Avenue, Staten Island, NY 10023"
208178,Nintendo Switch Surprise Game,1,59.99,10-21-19 09:06,"220 Lexington Avenue, Queens, NY 10473"
208179,Nintendo Switch,1,249.99,10-28-19 08:47,"596 3rd Avenue, Bronx, NY 10032"
208180,Light Bulbs 3 PK,5,2.49,10-04-19 18:35,"357 Wadsworth Avenue, New York City, NY 10033"
208181,Duracell 9 Volt Batteries,2,4.99,10-02-19 17:05,"104 Lexington Avenue, Bronx, NY 10032"
208182,Sony Playstation 4 Controller,1,59.99,10-01-19 15:07,"408 St Nicholas Avenue, Staten Island, NY 10023"
208183,Sony Playstation 4 Controller,1,59.99,10-16-19 12:39,"93 Amsterdam Avenue, New York City, NY 10033"
208184,Samsung Galaxy S10 Plus,1,999.99,10-11-19 20:43,"387 3rd Avenue, Staten Island, NY 10023"
208185,Samsung Galaxy S10 Plus,1,999.99,10-16-19 23:40,"449 5th Avenue, Bronx, NY 10032"
208186,Sony Playstation 4 Pro,1,399.99,10-12-19 08:01,"553 Lexington Avenue, Staten Island, NY 10023"
208187,Apple TV,1,99.99,10-23-19 15:53,"764 7th Avenue, Bronx, NY 10032"
208188,Microsoft XBox One X,1,399.99,10-17-19 12:25,"379 8th Avenue, Bronx, NY 10032"
208189,Lenovo Thinkpad,1,799.0,10-16-19 06:52,"667 Lexington Avenue, Queens, NY 10473"
208190,Sony Playstation 4 Surprise Game,1,59.99,10-19-19 12:44,"422 Amsterdam Avenue, Brooklyn, NY 12116"
208191,Apple Air Pods,1,149.0,10-12-19 22:10,"343 2nd Avenue, Bronx, NY 10032"
208192,JBL Bluetooth Wireless Speaker,1,199.99,10-23-19 12:33,"300 7th Avenue, Bronx, NY 10032"
208193,Apple Macbook Pro,1,2700.0,10-21-19 21:22,"537 Madison Avenue, Brooklyn, NY 12116"
208194,Soda,2,2.0,10-08-19 23:28,"463 Amsterdam Avenue, New York City, NY 10033"
208195,Whirlpool Washer and Dryer,1,699.0,10-26-19 12:33,"842 Audobon Avenue, Queens, NY 10473"
208196,Apple Watch,1,499.99,10-14-19 13:36,"311 7th Avenue, Bronx, NY 10032"
208197,Nintendo Switch Surprise Game,1,59.99,10-23-19 19:54,"157 Park Avenue, Staten Island, NY 10023"
208198,Candy,2,1.99,10-21-19 14:47,"123 St Nicholas Avenue, Staten Island, NY 10023"
208199,Soda,1,2.0,10-29-19 13:46,"615 Park Avenue, New York City, NY 10033"
208200,Light Bulbs 3 PK,1,2.49,10-01-19 19:56,"751 Park Avenue, Brooklyn, NY 12116"
208201,LG 65 Inch 4k Smart TV,1,399.99,10-31-19 02:09,"994 4th Avenue, Bronx, NY 10032"
208202,Apple Air Pods,1,149.0,10-13-19 22:16,"177 Broadway Avenue, Staten Island, NY 10023"
208203,Apple Lightning USB Charger,1,20.0,10-23-19 18:45,"817 Amsterdam Avenue, Staten Island, NY 10023"
208204,Soda,1,2.0,10-14-19 20:53,"367 7th Avenue, Queens, NY 10473"
208205,Light Bulbs 3 PK,1,2.49,10-16-19 13:11,"891 6th Avenue, Bronx, NY 10032"
208206,Duracell 9 Volt Batteries,3,4.99,10-22-19 12:14,"200 Park Avenue, New York City, NY 10033"
208207,USB C Android Charger,1,11.99,10-08-19 20:32,"905 Lexington Avenue, Queens, NY 10473"
208208,Candy,2,1.99,10-04-19 08:22,"183 2nd Avenue, Brooklyn, NY 12116"
208209,Microsoft Surprise Game,1,59.99,10-14-19 20:59,"841 8th Avenue, Bronx, NY 10032"
208210,Apple Lightning USB Charger,1,20.0,10-11-19 02:22,"726 4th Avenue, New York City, NY 10033"
208211,Duracell 9 Volt Batteries,1,4.99,10-23-19 22:32,"208 Park Avenue, Bronx, NY 10032"
208212,Wireless Headset for gaming,1,69.99,10-04-19 20:22,"416 7th Avenue, Brooklyn, NY 12116"
208213,Duracell 9 Volt Batteries,1,4.99,10-30-19 21:18,"865 3rd Avenue, Brooklyn, NY 12116"
208214,Nintendo Switch Surprise Game,1,59.99,10-17-19 22:41,"430 1st Avenue, New York City, NY 10033"
208215,Soda,1,2.0,10-08-19 15:32,"457 Wadsworth Avenue, Staten Island, NY 10023"
208216,Duracell 9 Volt Batteries,1,4.99,10-14-19 20:24,"212 Audobon Avenue, New York City, NY 10033"
208217,Candy,1,1.99,10-15-19 19:59,"71 Broadway Avenue, Queens, NY 10473"
208218,Duracell 9 Volt Batteries,1,4.99,10-10-19 18:51,"494 5th Avenue, Queens, NY 10473"
208219,Apple Lightning USB Charger,1,20.0,10-05-19 18:40,"999 Madison Avenue, Staten Island, NY 10023"
208220,Candy,1,1.99,10-05-19 23:52,"555 Amsterdam Avenue, Staten Island, NY 10023"
208221,Duracell 9 Volt Batteries,1,4.99,10-29-19 17:10,"96 Audobon Avenue, Staten Island, NY 10023"
208222,Nintendo Switch Surprise Game,1,59.99,10-11-19 11:58,"224 8th Avenue, New York City, NY 10033"
208223,Candy,1,1.99,10-30-19 12:45,"875 6th Avenue, New York City, NY 10033"
208224,Lenovo Thinkpad,1,799.0,10-03-19 19:38,"792 Park Avenue, New York City, NY 10033"
208225,Duracell 9 Volt Batteries,1,4.99,10-04-19 20:30,"263 St Nicholas Avenue, Bronx, NY 10032"
208226,Apple Macbook Pro,1,2700.0,10-16-19 07:18,"571 1st Avenue, New York City, NY 10033"
208227,Soda,1,2.0,10-22-19 17:49,"435 Audobon Avenue, Staten Island, NY 10023"
208227,Hot Dog,1,10.0,10-22-19 17:49,"435 Audobon Avenue, Staten Island, NY 10023"
208228,Nintendo Switch,1,249.99,10-11-19 10:09,"110 Lexington Avenue, Brooklyn, NY 12116"
208229,LG 65 Inch 4k Smart TV,1,399.99,10-13-19 21:45,"526 7th Avenue, Brooklyn, NY 12116"
208230,Apple TV,1,99.99,10-05-19 22:46,"354 Wadsworth Avenue, Staten Island, NY 10023"
208231,Apple Watch,1,499.99,10-18-19 18:12,"127 Amsterdam Avenue, New York City, NY 10033"
208232,Hot Dog,1,10.0,10-13-19 07:56,"656 Lexington Avenue, Bronx, NY 10032"
208233,Candy,1,1.99,10-24-19 20:53,"940 Park Avenue, Queens, NY 10473"
208234,Sony Playstation 4 Surprise Game,1,59.99,10-23-19 20:18,"230 Audobon Avenue, Queens, NY 10473"
208235,Candy,1,1.99,10-07-19 10:32,"234 5th Avenue, New York City, NY 10033"
208236,Apple iPhone 11 Pro,1,1100.0,10-08-19 19:47,"256 Broadway Avenue, Brooklyn, NY 12116"
208236,Candy,5,1.99,10-08-19 19:47,"256 Broadway Avenue, Brooklyn, NY 12116"
208237,Hot Dog,1,10.0,10-01-19 08:16,"322 6th Avenue, Queens, NY 10473"
208238,Apple TV,1,99.99,10-17-19 14:35,"33 Madison Avenue, New York City, NY 10033"
208239,Soda,2,2.0,10-03-19 06:30,"723 St Nicholas Avenue, Bronx, NY 10032"
208240,Extended Warranty 3 Years,1,49.0,10-14-19 22:27,"908 4th Avenue, Queens, NY 10473"
