OrderID,Product,QuantityOrdered,Price,OrderDate,PurchaseAddress
198129,Duracell 9 Volt Batteries,1,4.99,09-24-19 23:44,"236 Audobon Avenue, New York City, NY 10033"
198130,Candy,3,1.99,09-21-19 13:52,"721 2nd Avenue, Brooklyn, NY 12116"
198131,Light Bulbs 3 PK,3,2.49,09-05-19 21:45,"157 Lexington Avenue, Bronx, NY 10032"
198132,Nintendo Switch Surprise Game,1,59.99,09-28-19 19:16,"796 St Nicholas Avenue, New York City, NY 10033"
198133,Wireless Headset for gaming,1,69.99,09-07-19 15:32,"465 1st Avenue, Brooklyn, NY 12116"
198134,JBL Bluetooth Wireless Speaker,1,199.99,09-07-19 22:41,"962 Audobon Avenue, Staten Island, NY 10023"
198135,Duracell 9 Volt Batteries,1,4.99,09-28-19 22:02,"330 2nd Avenue, Queens, NY 10473"
198136,Apple Air Pods,1,149.0,09-08-19 12:29,"592 3rd Avenue, Staten Island, NY 10023"
198137,Microsoft XBox One X,1,399.99,09-06-19 22:40,"163 Park Avenue, New York City, NY 10033"
198138,Light Bulbs 3 PK,1,2.49,09-27-19 15:22,"277 Lexington Avenue, Queens, NY 10473"
198139,Microsoft XBox One Controller,1,59.99,09-27-19 14:32,"125 Wadsworth Avenue, New York City, NY 10033"
198140,Soda,3,2.0,09-17-19 12:15,"510 5th Avenue, Staten Island, NY 10023"
198141,Hot Dog,1,10.0,09-26-19 16:20,"875 4th Avenue, Queens, NY 10473"
198142,Apple Macbook Pro,1,2700.0,09-16-19 19:29,"658 Wadsworth Avenue, New York City, NY 10033"
198143,Duracell 9 Volt Batteries,1,4.99,09-29-19 23:55,"631 4th Avenue, New York City, NY 10033"
198144,Soda,1,2.0,09-03-19 14:09,"995 Amsterdam Avenue, Queens, NY 10473"
198145,Microsoft XBox One X,1,399.99,09-13-19 18:37,"117 Park Avenue, New York City, NY 10033"
198146,Soda,1,2.0,09-18-19 10:18,"54 Amsterdam Avenue, New York City, NY 10033"
198147,Samsung Galaxy S10 Plus,1,999.99,09-26-19 23:20,"668 Broadway Avenue, Bronx, NY 10032"
198148,Sony Playstation 4 Controller,1,59.99,09-18-19 12:12,"750 Amsterdam Avenue, Staten Island, NY 10023"
198149,Duracell 9 Volt Batteries,1,4.99,09-23-19 17:25,"597 9th Avenue, Brooklyn, NY 12116"
198150,LG 65 Inch 4k Smart TV,1,399.99,09-08-19 19:36,"191 9th Avenue, Bronx, NY 10032"
198151,Apple TV,1,99.99,09-27-19 13:11,"556 Lexington Avenue, Staten Island, NY 10023"
198152,Apple Lightning USB Charger,1,20.0,09-14-19 11:16,"797 5th Avenue, Brooklyn, NY 12116"
198153,Wireless Headset for gaming,1,69.99,09-23-19 19:39,"230 Amsterdam Avenue, New York City, NY 10033"
198154,Candy,1,1.99,09-17-19 21:02,"302 5th Avenue, Bronx, NY 10032"
198155,Samsung Galaxy S10 Plus,1,999.99,09-09-19 12:46,"245 Wadsworth Avenue, Brooklyn, NY 12116"
198156,Nintendo Switch,1,249.99,09-19-19 11:25,"814 8th Avenue, New York City, NY 10033"
198157,Apple TV,1,99.99,09-21-19 14:21,"55 5th Avenue, Bronx, NY 10032"
198158,Lenovo Thinkpad,1,799.0,09-11-19 23:25,"108 5th Avenue, New York City, NY 10033"
198159,Sony wired Headset for MP3 and Movies,2,12.99,09-20-19 00:07,"109 Amsterdam Avenue, Bronx, NY 10032"
198160,Soda,2,2.0,09-29-19 08:28,"581 2nd Avenue, Staten Island, NY 10023"
198161,Wired Headset for gaming,1,49.99,09-12-19 13:35,"125 8th Avenue, Queens, NY 10473"
198162,Hot Dog,1,10.0,09-19-19 20:26,"411 5th Avenue, Queens, NY 10473"
198163,Nintendo Switch,1,249.99,09-03-19 23:09,"165 2nd Avenue, Queens, NY 10473"
198164,Candy,1,1.99,09-11-19 13:31,"798 Park Avenue, New York City, NY 10033"
198165,Wired Headset for gaming,1,49.99,09-19-19 20:51,"513 St Nicholas Avenue, Queens, NY 10473"
198166,Apple Macbook Pro,1,2700.0,09-20-19 23:39,"923 6th Avenue, Brooklyn, NY 12116"
198167,Candy,1,1.99,09-07-19 07:29,"402 8th Avenue, New York City, NY 10033"
198168,Sony Playstation 4 Pro,1,399.99,09-26-19 11:38,"829 Audobon Avenue, Queens, NY 10473"
198169,JBL Bluetooth Wireless Speaker,1,199.99,09-27-19 13:30,"383 6th Avenue, New York City, NY 10033"
198170,USB C Android Charger,1,11.99,09-04-19 13:56,"842 St Nicholas Avenue, Bronx, NY 10032"
198171,Hot Dog,1,10.0,09-21-19 15:30,"735 Madison Avenue, Brooklyn, NY 12116"
198172,Microsoft XBox One X,1,399.99,09-01-19 22:31,"696 Amsterdam Avenue, Brooklyn, NY 12116"
198172,Microsoft Surprise Game,1,59.99,09-01-19 22:31,"696 Amsterdam Avenue, Brooklyn, NY 12116"
198173,Light Bulbs 3 PK,2,2.49,09-03-19 04:25,"251 6th Avenue, Queens, NY 10473"
198174,Wired Headset for gaming,1,49.99,09-03-19 12:03,"383 St Nicholas Avenue, New York City, NY 10033"
198175,Samsung Galaxy S10 Plus,1,999.99,09-07-19 16:32,"794 4th Avenue, New York City, NY 10033"
198176,Candy,2,1.99,09-15-19 06:54,"847 9th Avenue, Brooklyn, NY 12116"
198177,Apple Watch,1,499.99,09-16-19 11:16,"574 Amsterdam Avenue, Brooklyn, NY 12116"
198178,Candy,2,1.99,09-27-19 07:56,"343 3rd Avenue, New York City, NY 10033"
198179,Soda,1,2.0,09-28-19 08:35,"633 1st Avenue, Staten Island, NY 10023"
198180,Extended Warranty 3 Years,1,49.0,09-29-19 19:58,"195 1st Avenue, Bronx, NY 10032"
198181,LG 65 Inch 4k Smart TV,1,399.99,09-08-19 14:00,"132 3rd Avenue, New York City, NY 10033"
198182,Soda,1,2.0,09-15-19 20:14,"344 Amsterdam Avenue, New York City, NY 10033"
198183,Soda,2,2.0,09-19-19 21:55,"801 9th Avenue, Brooklyn, NY 12116"
198183,Light Bulbs 3 PK,1,2.49,09-19-19 21:55,"801 9th Avenue, Brooklyn, NY 12116"
198184,Light Bulbs 3 PK,1,2.49,09-19-19 12:52,"129 Audobon Avenue, Brooklyn, NY 12116"
198185,Apple Air Pods,1,149.0,09-03-19 13:12,"220 Broadway Avenue, Queens, NY 10473"
198186,Hot Dog,1,10.0,09-08-19 14:02,"40 6th Avenue, New York City, NY 10033"
198187,Soda,1,2.0,09-08-19 19:42,"513 Lexington Avenue, Staten Island, NY 10023"
198188,Candy,1,1.99,09-23-19 13:29,"14 Audobon Avenue, Brooklyn, NY 12116"
198189,Nintendo Switch,1,249.99,09-07-19 16:31,"388 Wadsworth Avenue, Staten Island, NY 10023"
198190,Sony Playstation 4 Pro,1,399.99,09-09-19 22:48,"655 Audobon Avenue, Bronx, NY 10032"
198191,Soda,1,2.0,09-01-19 17:57,"442 6th Avenue, New York City, NY 10033"
198192,JBL Bluetooth Wireless Speaker,1,199.99,09-20-19 11:49,"602 Amsterdam Avenue, Bronx, NY 10032"
198193,Sony Playstation 4 Pro,1,399.99,09-16-19 18:06,"696 2nd Avenue, Bronx, NY 10032"
198194,Light Bulbs 3 PK,1,2.49,09-24-19 00:36,"261 Madison Avenue, Staten Island, NY 10023"
198195,Soda,2,2.0,09-03-19 12:21,"999 Madison Avenue, New York City, NY 10033"
198196,Wired Headset for gaming,1,49.99,09-17-19 10:42,"499 Broadway Avenue, Staten Island, NY 10023"
